english,transcription,russian,mnemonic_list
ad,[æd],реклама,"['реклама АДа по телевидению', 'АДу реклама не нужна :-)', 'А Давай С тобой дадим объявление', 'В рекламе АДмирал дерется с ВЕТИренаром и МЕНТом', 'На рекламе АДмирал дерется с МЕНТом']"
advertise,['ædvətaɪz],рекламировать,"['АДВОкат ТАЙСона усиленно его рекламирует.', 'ЭДик ВЕТкой как указкой рекламировал свой дом']"
guidance,['gaɪd(ə)n(t)s],рекомендация,['Под руководством и управлением великого ГАЙДНА(С) мы изучили танец гайДЕНС. И все благодаря советам и рекомендациям ГАЙДНА(С).']
recruit,[rɪ'kruːt],рекрут,['РЕКРУТ 15 летний лысый пришел как новобранец']
pious,['paɪəs],религиозный,['ПАЙ-мальчик Сунул пальчик набожной старушке']
track,[træk],рельсовый,['На путях стоит ТРАКтор']
belt,[belt],ремень,"['БЕЛье спадаеТ с него без ремня', 'чтобы штаны не БЕЛТались был придуман ремень', 'Ремень БОЛТается на стуле', 'Ремень БОЛТается на спинке кресла', 'РеменьБОЛТается на стуле']"
art,[ɑːt],ремесло,"['АТыcкать старого ремесленика', 'КРАсить буФеТ - ремесло краснодеревщика']"
strap,[stræp],ремешок,"['СТанцуй РЭП, подарю ремешок.']"
repairs,ремонт,ремонт,"['После ремонта купили диван из РЕПили', 'Ремонт обуви находится в ШУмном РайонЕ ПАРижа']"
mount,[maunt],ремонтировать,"['МАУзер НаДо ремонтировать', 'Индийская РУПИЯ нуждается в ремонте.']"
X-ray,[eks,рентген,['Рентген показал ЭКСтрасенса Рак ушЕЙ']
turnip,['tɜːnɪp],репа,['репу ТЯНЕм Потянем вытянуть не можем']
rehearse,[rɪ'hɜːs],репетировать,"['во время того, как РЕзюме давал ХИРург, Со всей силой он пытался репетировать']"
tutor,['tjuːtə],репетитор,['госТЬЮ ТЕрроризировал домашний учитель']
rehearsal,[rɪ'hɜːs(ə)l],репетиция,['оРЕХИ СОЛили на репетиции для никиты михалкова']
retort,[rɪ'tɔːt],реплика,['На подкол он бросил в РОТ ТОРТ т.к. не смог придумать остроумный ответ.']
coverage,['kʌv(ə)rɪʤ],репортаж,['КОВЫРялись в обломках репортеры']
copy,['kɔpɪ],репродукция,['КОПИя картины - репродукция']
eyelash,['aɪlæʃ],ресница,['подкрашивАЙ ЛИШЬ ресницы']
restaurant,['restərɔnt],ресторан,['Ресторан был в РЕСпек Табельном РАйоНе']
prescription,[prɪs'krɪpʃ(ə)n],рецепт,"['Рецепт не нужен для покупки ПРЕЗервативов, КРемов и косметики от морЩИН']"
cacology,[kæ'kɔləʤɪ],речь,"['У него такая плохая речь как буд-то КАКА ЛЕЗИт.', 'произнести обличительную речь о том что не соблюдает ДАЕТу (диету) РАБ', 'ГЕББеЛьс не любил нечленораздельную речь.', 'Его речь такая напыщенная потому, что он берет РЕНТу за прослушивание.', 'С КРИТа приехал новый русский и произносит длинную скучную речь.', 'В своей речи он призвал СПИЧками поджечь их.', 'С ПЕЧки доносилась поучающая речь деда', 'как от СПИЧки, зал зажегся речью оратора.', 'речь СПИКера была немногословной', 'Черезвычайно длинная речь. От того, что он речь ТОЛКАет, в СОН тянет.']"
decide,[dɪ'saɪd],решать,"['Все дела там решают ДЕСЯТь человек.', 'решать, отдовать ДИСтрофикоф САИДу ?', 'Решил ДИма обить дом САЙДингом', 'девушка решила стать воспитателем ДЕтского САДа', 'ДЕдушка САЙТ решил сделать', 'ДИСтрофик САм может решить что ему делать', 'РЕЗать решил он аппендикс', 'США решили вопрос в СОЛЬВадоре.', 'СОЛь В супе объясняет, почему суп солёный.', 'Решил при помощи СОЛеной Ветчины проблему']"
hesitate,['hezɪteɪt],решаться,['ХОСЕ колеблется ТОлкать или Тянуть']
come,up,решение,"['Предложил решение проблемы КОМисар АПтекарю во время своего ВИЗита', 'ДЕСЕрт ЖЕНа решила не есть, с решимостью его отвергла', 'ЖАра МЕНяеТ все решения', 'Принял решение МАЯКовский идти в ДИСантуру, но АНализы не позволили']"
sieve,[sɪv],решето,['СИВка бурка встань на решето']
decision,[dɪ'sɪʒn],решимость,"['ДЕСЕрт ЖЕНа решила не есть, с решимостью его отвергла']"
determined,[dɪ'tɜːmɪnd],решительный,['ДИТё с МИНДалинами решительный доктор отправил на операцию...']
sort,out,решить,['Он решил проблему по СЕРТификации АВТомобиля']
rust,[rʌst],ржаветь,['РАСТащили ржавый металлолом']
rust,[rʌst],ржавчина,['Ржавчина покрыла даже РАСТения.']
neigh,[neɪ],ржать,['ржать сильНЕЙ чем лошадь не прилично']
rebound,['riːbaund],рикошет,['БеРИ этот БАУл. Он Не Даст в тебя попасть. Пули срикошетят так как он бронированный.']
Roman,['rəumən],римский,['римский РЕставратор продемонстрировал свои УМЕНия']
rice,[raɪs],рис,"['в РАЙском Саду Китая растет рис', 'РОСа похожа на РИС', 'в Китае рисовый РАЙ']"
hazard,['hæzəd],риск,"['Газ АЗОТ опасен, не стоит рисковать.', 'не хватай Холодный АЗОТ это риск']"
dangerous,['deɪnʤ(ə)rəs],рискованный,"['Опасная ситуация случиоасть со мней в ДАНии, за мной гнался ГЕРакл и я ИСпугался']"
venture,['venʧə],рисковать,"['гнеВЕН ЧЕловек, который рискует!']"
cartoon,[kɑː'tuːn],рисовать,"['карикатура где КОТУ Наступили на хвост', 'ЧОКнутый съел мел.', 'древние люДИ ПИКТограммы могли рисовать', 'ДРОжащими руками не надо рисовать.', 'рисовать ДРОва по просьбе замерзающего чукчи', 'Нарисовал граффити и уДРАл']"
daub,[dɔːb],рисунок,['ДОБыл на ремонт штукатурки']
beat,[biːt],ритм,['БИТь биток в ритм']
rhyme,[raɪm],рифма,"['РАЙ уМопомрачительный - везде звучит поэзия, стихи читаются в рифму']"
sheep,[ʃiːp],робкий,"['Он был робкий и застенчивый, боялся, что на него будут ШИПеть.', 'Они робко кричали: ШАЙбу, шайбу.', 'ШАЙбу! робкий не кричит', 'вместе мы ШАЙка- смелы и отважны,а ка отвалилось - стали робкими и пугливыми']"
cowardice,['kauədɪs],робость,['трус спрятался под КОВРом на ДИСтанции от проблем']
dike,[daɪk],ров,"['ДАЙ-Ка прыгну через канаву', 'оДИЧал живя в канаве', 'ДИЧь плавает по рву', 'Охотники сбрасывали ДИЧЬ в канаву.']"
peer,[pɪə],ровесник,['все мои ровесники в ПИРсингах (представьте это очень ярко)']
even,['iːv(ə)n],ровный,"['ИВЫ Наши все ровные', 'Ровный нос у ИВАНа', 'ИВАН сделал ровные стены']"
horn,[hɔːn],рог,['ГОРН вместо рога']
cattle,['kætl],рогатый,"['в КОТЕЛ сливают кровь крупнорогатого скота', 'из крупнорогатого скота получаются отличные КОТЛеты']"
genus,['ʤiːnəs],род,"['хорошие ГЕНы УСпешно передаются у нас в роду', 'КИНь свою родню с плеч.', 'КАНДидат -это разновидность (особый сорт) людей.']"
motherland,['mʌðəlænd],родина,['МОЗАЛ ЛЕнДенцами всех негров у себя на родине']
mole,[məul],родинка,['родинка белая как МОЛоко']
parent,['peər(ə)nt],родители,"['Если родители не дают денег, надо посыпать на их зад ПЕРЕЦ.', 'ПЭРЭНеС родителей в болшой дом под березой']"
parent,['peər(ə)nt],родитель,['родители ПОРЯТ своих детей']
be,born,родиться,['Родился на БИрже БОРодатый ребеНок']
home,[həum],родной,"['ХОМяк живет у нас в доме', 'МАЗАЛ ТОНКО родным языком', 'Родной язык поМОЖет станцевать даже ТАНГо']"
parturient,[pɑː'tjuərɪənt],родовой,"['ПАрТия ЮРИя НеТо Стоянова, нето Гагарина сделала рожающим.']"
akin,[ə'kɪn],родственный,['в пЕКИНе все родственники']
bear,[beə],рождать,['рождать медведя в БЕАРлоге']
birth,[bɜːθ],рождение,"['БЕРСерком можно только родиться', '-НЕ СЫН?\n-СЫн, сын.\n-Ура, рождение!']"
Christmas,['krɪsməs],рождество,['рождество ХРИСТово']
rye,[raɪ],рожь,['для РАЯ заказали рожь']
socket,['sɔkɪt],розетка,['СОК в КИТае из розетки вытекает']
retailer,['riːteɪlə],розничный,['Розничный торговец хотел РИте ТЕЛевизов со скидкой продать']
pink,[pɪŋk],розовый,['потри розовую сПИНКу']
spoof,[spuːf],розыгрыш,"['У кобеля наступил брачный период и ему подсунули ПУФик в виде собаки. Собачка занималась любовью С ПУФиком, не понимая, что это пародия, мистификация и её мистифицировали и обманули.']"
swarm,[swɔːm],рой,"['Хозяин пасеки вместе С ВОРоМ, который тырил мед, попали в рой пчел.']"
doom,[duːm],рок,['Над ГосДУМой висит злой рок.']
rum,[rʌm],ром,['Мама мыла РАМу и пила ром.']
affair,[ə'feə],роман,"['Мне лично нравится больше когда говорят по-русски о любовной связи,типа: У них там ля-ля фа-фа началось. А по-английски это звучит как будто увидел что-то очень противное ЭЭ!ФЭЭЭ!!!']"
camomile,['kæməmaɪl],ромашка,['Алкаш покупает сигареты: “КЭМАМАЙЛ. С ромашкой”.']
rhombus,['rɔmbəs],ромб,['Представляем РИМский автобус с окнами в виде ромбов и в нем БЕСы.']
drop,[drɔp],ронять,"['ронять ДРОПь на пол', 'хлоп! нельзя ронять ДРОПь на знак стоп!', 'охотник уронил ДРОбовик из рук']"
gorgeous,['gɔːʤəs],роскошный,"['ГОД ЖЕ был Самый роскошный', 'все ПЛЮШевые вещи шикарны (представьте какие эти вещи приятные на ощупь и мягкие и шикарные)', 'СПЛАНировали День великолепно', 'СПЛЮНь ДЯДь на этот роскошный и великолепный ковёр в отеле Метрополь.', 'Я говорю мужику: СПЛЮНь ДЯДька - у тебя великолепная, роскошная, блестящая фикса в зубах. Похвастайся ей!']"
stunt,[stʌnt],рост,['СТАНеТ болеть и тем самым будет задерживать себе рост.']
grove,[grəuv],роща,['ГРОбы УВолокли в рощу']
spinney,['spɪnɪ],рощица,['СПИ НИ чего не боясь в рощице (зарослях)охраняемых княжеской дружиной.']
plane,[pleɪn],рубанок,"['АэроПЛАН был завален рубанками, фуганками.']"
nightie,['naɪtɪ],рубашка,"['никак не могу НАЙТИ ночную рубашку', 'количество рубашек не знает СЧЕТа у нашего президента', 'Рубашка сШЫТа плохо']"
scar,[skɑː],рубец,['Этот СКАз насегда оставил в моей душе шрам']
axe,[æks],рубить,"['в ЭКСпедицию взяли топор', 'ЧОПорный мужик ни за что не станет рубить топором.', 'Рубя саблей заросли, КАТя ЛЕСом добралась к своему дому', 'в лесу раздавался ХЕК дровосека кромсающего деревья', 'В ХЬЮстоне рубят много голов.', 'ХУлигану отрубили ХУдую руку']"
abuse,[ə'bjuːs],ругать,"['О, БОЮСь, вы будете ругаться', 'Мы БЛЮЕМ, они ругают нас.', 'Ребенок опаздывает в школу. Его ругают:\n-В ШКОЛу иДи!', 'СКАЛкой Дралась и ругалась при этом']"
rail,[reɪl],ругаться,['Телевидение не показало РЕЙЛаму(рекламу). Приехал заказчик и они стали ругаться и браниться.']
ore,[ɔː],руда,['Откопал руду']
mine,[maɪn],рудник,['в соседней от рудника деревне шахтеров угостили МАлИНовым вареньем']
ruin,['ruːɪn],руина,['гибель под РУИНами']
arm,[ɑːm],рука,"['АМериканцы руку на библию кладут', 'в кАРМан рука(выше кисти) не поместится', 'АМпутировали руку', 'в АРМии оружие из рук не выпускают', 'АМериканцы берут в руки оружие', 'амбал с огромной одной рукой в которой АРМатура, а вторая у него крошечная', 'АМпутировали руку', 'АРМреслинг это бой на руках', 'От слова ХЭНДбол (гандбол), т.е. мяч в руках.', 'Руки катаржан, идущих на каторгу - в КАНДалах.', 'На мою руку напалаХАНДра', '""поднимите руки, кто Хочет одолеть АНДы"", - попросил учеников альпинист-наставник']"
arm,[ɑːm],рукав,"['АМпутировали руку', 'На мой рукав СЛИВалась вся вода из зонтика.', 'собирать СЛИВки рукавом', 'из рукава СЛИВается вода', 'рукав похож на СЛИВ', 'полный рукав СЛИВ', 'из рукава выкатываются СЛИВы', 'СЛИВают воду с рукава', 'Рукава на рубашке СЛИВового цвета']"
mitten,['mɪt(ə)n],рукавица,['МИТя Надел варежку']
direct,"[dɪ'rekt,",руководить,"['ДИРЕКТор мой прямой начальник', 'ГОлый ВОиН управляет войском', 'ГАЙДар всегда впереди он руководитель', 'под руководством ЛИДирующей партии', 'ЛИДер всегда руководит', 'Этот наш новый МЭНЭДЖэр плохо справляется со своей работой! Он совсем не умеет руководить, - жаловался директору начальник после третьей неудачной сделки.']"
"authority,",authorities,руководство,"['власть АВТОРИТЕта', 'Под руководством и управлением великого ГАЙДНА(С) мы изучили танец гайДЕНС. И все благодаря советам и рекомендациям ГАЙДНА(С).', 'управляет царь ГВИДОН', 'под руководством ЛИДирующей партии']"
handshake,['hæn(d)ʃeɪk],рукопожатие,['Рукопожатием крепким ХАмелеон закрепил сделку с ШЕКспиром']
haft,[hɑːft],рукоятка,"['За рукоятку ХАФТаются(хватаются).', ""Для конспирации я должен был войти в отель 'ХИЛТон', держась за рукоятку кинжала.""]"
roll,[rəul],рулет,['рулет с мясом кРОЛика']
roll,[rəul],рулон,"['кРОЛик меланхолично жевал сено, свёрнутое в рулон.']"
helm,[helm],руль,"['ХЕЛМут (Гельмут) Коль сел за руль.', 'ХИмик ЛоМает руль', 'руль на РАДИо (регулятор громкости)']"
blush,[blʌʃ],румянец,"['Когда ложишься в горячую ванну, покрываешься румянцем, краснеешь. Это БЛАЖь.']"
ruddy,['rʌdɪ],румяный,['РАДИст красный от напряжения']
nullah,['nʌlə],русло,['НАЛОм плачу за ручей (Н.Р. о Волге)']
crash,[kræʃ],рухнуть,['ударяться КРАШенными яйцами']
pawn,[pɔːn],ручаться,['под залог свадебное платье ПОНосить']
brook,[bruk],ручей,"['БРЮКи полоскал в ручье', 'БРУКлинский мост не строй через ручей', 'вошел в ручей в БРЮКах', 'БЕНгалский огонь тушили в ручье', 'из ручья слышится радостный КРИК', 'слышится КРИК у ручья, играет там ребятня', 'НАЛОм плачу за ручей (Н.Р. о Волге)']"
arm,[ɑːm],ручка,"['АМпутировали руку', 'ручка в ПЕНале', 'Ручку положила на ПЕНь']"
manual,['mænjuəl],ручной,"['От слова МАНУАЛьная терапия, т.е. ручная.']"
fish,[fɪʃ],рыба,"['Шахматист ФИШер подавился рыбой.', 'Тут как ФИШка ляжет,будет ловится рыба или нет.', 'ФИШка с изображением рыбы', 'Рыба изображена на аФИШе дельфинария', 'Рыба нарисована на аФИШе', 'Из рыбы делают ФИШмак в Макдональдсе']"
angle,['æŋgl],рыболовный,['АНГеЛ закидывал удочки']
jerked,[ʤɜːkt],рывок,"['ДЖОРдж К Тебе рывок сделал', 'ТАнк Гвозди дергает']"
keck,[kek],рыгать,"['После этого КЕКса он весь день рыгает.', 'КЕКс был несвежим и его пришлось отрыгать.', 'рыгать на КЕКсы в магазине']"
sob,[sɔb],рыдать,"['СОПли вытирает и рыдает', 'мамы детей-хулиганов рыдают на родительском СОБрании', 'рыдающая СОБака', 'VIP не могут плакать.']"
market,['mɑːkɪt],рынок,['МАКЕТ рынка в лужниках']
prowl,[praul],рыскать,['бродил ПРОЛесками']
trot,[trɔt],рысь,['Тело попало рыси в РОТ и она ТоРОпиТся его съесть.']
dig,[dɪg],рыть,"['Роет яму ДИГинират', 'среДИ Гор вырыли тоннель']"
rummage,['rʌmɪʤ],рыться,['рыться в поисках РАМы на велосипед И ДЖинсов']
knight,[naɪt],рыцарь,['более смелого рацаря вам не НАЙТи']
jack,[ʤæk],рычаг,['майклу ДЖЕКсону операцию на коже делают домкратом']
growl,[graul],рычание,"['кто слил ниГРОЛ ворчал механик', 'СНАружи Лекционного зала образовалась путаница. У кого сейчас\nлекция?\nНекоторые студенты даже издавали рычание.', 'рычание волка С НАЛовленной рыбкой']"
abreast,[ə'brest],ряд,"['А БРЕСТ немцы брали с трудом, т.к. там в ряд стояли советские войска.', 'А БРЕСТ - в ряду городов-героев', 'РЕЙНДЖеры бежали по линии', 'РЭЙНДЖер из техаса выстроил бандитов в ряд.', 'гРЕНКи положи в ряд, линию', 'Я РОЮ землю рядами.', 'РОвные ряды', 'в кинотеатре между рядами вырыли РОВ', 'В ряд выстоилиль коРОВы', 'РОвный ряд']"
garden,['gɑːd(ə)n],сад,"['Эта ГАДЕНа (гадина) убита в саду.', 'ГАДаНие в саду', 'ГАДы Ночью в сад заползли', 'ГАДы в саду Нагадили', 'В саду сидит ГАДалка На стуле', 'ГАДаНие в саду', 'в саду ГАДюка Напугала детей', 'В детском саду КИНДЕР-сюрпризы тебе ГАРанТированы']"
perch,[pɜːʧ],садиться,"['насест у птицы в виде ПЕРЧатки', 'Сел возле меня мальчик с СИндромом ДАУНа']"
bed,[bed],сажать,"['БЕДная кровать - сколько ей приходится выдерживать', 'в клетке лаКЕЙ ДЖинсы спрятал', 'КОНСТРуктор стесняется к АНне сесть в тюрьму', 'курятник как КУБ', 'на ПЛАНТации сажают цветы', 'собака СИДеть']"
carp,[kɑːp],сазан,['КАПитан жарит карпа']
sleigh,[sleɪ],салазки,['На санках я катаюсь С ЛЕдяноЙ горы']
lard,[lɑːd],сало,['ЛАРек Давно перестал продавать сало']
napkin,['næpkɪn],салфетка,"['НЕ ПОКИНь меня, - сказала она, салфеткой вытирая слезы', 'НЕПромокаемую наКИНул салфетку', 'НАПол КИНули салфетку,а могли на табуретку', 'Салфетки НАдо взять на ПИКНик']"
greasy,['griːsɪ],сальный,['медведи ГРИЗлИ жирные и сальные.']
buck,[bʌk],самец,['Денди носил БАКенбарды']
conceited,[kən'siːtɪd],самодовольный,['самодовольный КОНь СИДЕл']
impostor,[ɪm'pɔstə],самозванец,['этот ИМигрант на ПОСТЕРе - самозванец']
conceit,[kən'siːt],самомнение,"['КОНечно, СИТя на троне, ты тщеславен и обладаеешь высоким самомнением']"
temper,['tempə],самообладание,['сдерживай ТЕМПЕрамент']
cocky,['kɔkɪ],самоуверенный,['КОрова КИнула самоуверенный взгляд']
gem,[ʤem],самоцвет,['Драгоценный ДЖЕМ']
sleigh,[sleɪ],сани,['На санках я катаюсь С ЛЕдяноЙ горы']
shed,[ʃed],сарай,['ШвЕД уснул в сарае']
sugar,['ʃugə],сахар,"['От слова ЦУКОР - созвучто с сахаром.', 'ШУГАть ворон от сахара', 'ШУГАюсь я этого сахара во время диеты, а он бегает за мной по квартире и хочет, чтобы я его съела']"
elope,[ɪ'ləup],сбежать,"['пенЕЛОПа сбежала с турнира (жена Одиссея)', 'ЛОПнуть как пузырь, т.е исчезнуть', 'поймали девку,которая сбежала с возлюбленным, И ЛУПили. Ей, бедной, негде было скрыться.', 'И ЛОПнула шина у автомобиля - как сбежать,как скрыться?', 'Запоминание слова по слогам: первая буква слова E - escape (бегство, побег), далее следует LO - можно запомнить как love, и буква P - можно запомнить как parents. Соответственно получается escape for love from parents (сбежать от родителей с любимым (т.е. ради любви)', 'Вначале вспомним, кто такая Пенелопа - это мифол. супруга Одиссея, которая хитростью и коварством избавлялась от навязчивости женихов, пока Одиссей не возвратился из своего плавания, короче - была верна) пенЕЛОПа так и не сбежала (не СКРЫЛАСЬ) с другими мужиками, от своего мужа (одиссея), пока он плавал', 'И ЛОПнула крышка кострюли и молоко сбежало!']"
save,[seɪv],сберечь,['СЕВерянин спас провалившегося под лед ребенка']
bewilder,[bɪ'wɪldə],сбивать,"['Эта БЕЛИБЕРДА сбивает с толку.', 'БИки (быки) ВИЛы ДЕРжат. Всё прохожие изумляются и сбиваются с толку', 'спортсмена не отвлекайте и он ДАСТ РЕКорД']"
take,up,сближаться,['взял(ТЕЙК) на верхнюю(АП) полку подругу и начал с(ВИЗ) ней влюбляться']
mob,[mɔb],сборище,['толпа не может быть МОБильной']
canaille,[kæ'neɪl],сброд,"['В КАНАЛ сбрасываются отходы. Бывают такие люди-сброд, чернь(канальи).']"
harness,"['hɑːnɪs,",сбруя,['ХАм без упряжи упал под НИЗ лошади']
nuptial,['nʌpʃ(ə)l],свадебный,"['НУ, свадебные ПТИцы Летают']"
wedding,['wedɪŋ],свадьба,"['Из-за свадьбы она заболела ВЕДИНГой (водянкой).', 'ВЕсь ДЕНь шла свадьба', 'На свадьбу ВЕДьмы ИНГа пришла']"
dump,[dʌmp],сваливать,"['Cейчас свалю все деньги в кучу,\nпотом разДАМ По рублю.']"
collapse,[kə'læps],свалиться,['КОЛЬ ЛАПы Свесил пес - значит обессилел.']
waste,[weɪst],свалка,['свалка ВЕСИТ тонну']
grumpy,['grʌmpɪ],сварливый,"['он раздражительный потому, что дома нет ниГРАМа ПИва']"
fylfot,['fɪlfɔt],свастика,['ФИЛя ФОТографирует фашисткую свастику']
flay,[fleɪ],свежевать,"['ВЛЕЙ в нее кое-что, пока она не содрала кожу с тебя.']"
fresh,[freʃ],свежесть,['свежий ФРукт ЕШь']
caller,['kɔːlə],свежий,"['-Дайте полкило моркови. Она свежая?\n-Да!\n-Тогда КИЛО.', 'от холода сКУЛы стучат', 'ВРЕШЬ скотина, что мясо свежее.', 'свежий ФРукт ЕШь']"
beet,[biːt],свекла,['БИТь свеклу о другую - землю отбивать']
mother-in-law,['mʌðə,свекровь,['Свекровь – это моя МАМА с НЛО']
flash,[flæʃ],сверкать,"['пЛЕШЬ сверкает', 'ГеЛЕвые шарики с подсветкой ослепительно сверкают', 'на ГаЛЕРе ослепительно сверкает фонарь и на неё пристально смотрят с берега']"
glittering,['glɪt(ə)rɪŋ],сверкающий,['ГЛИЦЕРИН блестит у него на лысине.']
bore,[bɔː],сверлить,['сверлить БОльшую дырку']
bit,[bɪt],сверло,['БИТлы до музыки хорошо работали сверлами.']
ultrasonic,[ˌʌltrə'sɔnɪk],сверхзвуковой,['ULTRA-сверх\nSONIC-звук (у магнитофона sony хороший звук)']
emit,"[ɪ'mɪt,",свет,"['Ты испустил весь свой лИМИТ газов', 'ГеЛЕвые шарики с подсветкой ослепительно сверкают', 'в ГЛИне проблеск Металлического изделия', 'Легкие сигареты Мальборо-ЛАЙТ светятся в темноте.', 'собака ЛАЕТ на свет', 'САНки ЛАЯТ на солнечный свет', 'СОлНечная ШАЙба на Небе дает солнечный свет']"
shine,[ʃaɪn],светить,"['Композитор ШАИНский светится от радиации.', 'Сияю я от счастья, так как ШАрлотка АЙ какая вкусная', 'песни на стихи ШАИНского будут сиять и светить вечно']"
gleam,[gliːm],светиться,['в ГЛИне проблеск Металлического изделия']
bright,[braɪt],светлый,"['у БРАТа светлая голова', 'БРАТ читал при ярком свете', 'БРАТ ярко одевается в яркие и светлые кофты и блестящие штаны', 'БРАт чИТал при ярком свете', 'Светлый ДаЛАЙ Лама']"
traffic,light,светофор,['На светофоре растет ТРаВка и сидитЛАЙка']
candle,['kændl],свеча,"['От слова КАНДЕЛябр - подсвечник.', 'КАНДаЛы мешают зажечь свечу', 'КЭН (друг Барби) ДаЛ барби свечку', 'КАНДЕЛябр - это подставка для нескольких свечей', 'КАНДаЛы мешают мешают зажечь свечу']"
appointment,[ə'pɔɪntmənt],свидание,"['На встрече были ОПОЕНы все МЕНТы', 'Пригласил девушку на свидание и дал ей кАСКу, чтобы мы покатались на АВТобусе', 'Свидание в ДЕТройте']"
spectator,[spek'teɪtə],свидетель,"['идет СПЕКТАкль, а ТЕ люди - свидетели происходящего', 'УВИТНИй Свидетель, т.е. (видный) свидетель.', 'ВИТя НЕС ерунду, говоря что он свидетель', 'я на ФИТНЕСе стал свидетелем рекорда']"
diploma,[dɪ'pləumə],свидетельство,"['ДИПЛОМАт получил свидетельство о том, что он никогда не работал на цру :).', 'нЕВИДАНное Событие - проснулся вулкан, все туристы - свидетели', 'ТЕСТЫ МЕНЯЛ экзаменатор для решения о выдаче аттестата.', 'ТЕСТЯ МАНИЛо раздавать рекомендации']"
testify,['testɪfaɪ],свидетельствовать,"['ТЕСТИровщики ФАЙрвола свидетельствовали о том, что он совсем не защищает компъютер']"
lead,[led],свинец,['ЛЕДокол свинцовый']
pork,[pɔːk],свинина,['Свинины 10 кил проиграл в ПОКер']
hog,[hɔg],свинья,"['боров ХОчет Голову отгрызть', 'Свиньи питаются ПИГмеями']"
ferocity,[fə'rɔsətɪ],свирепость,"['Ты с ним ВРОЗЬ ИДИ, так как его свирепость не знает границ.', 'ФРОСЯ ТЫ свирепа в танце']"
fierce,[fɪəs],свирепый,"['свирепый лев собрал нас всех на лютую ФИЕСту - он нас съест', 'ФИРС был свиреп', 'ГРИМ наложили на монстра стал он свирепым и мрачным']"
dangle,['dæŋgl],свисать,"['ДЭН, ГЛяди, свешивается с балкона 2-го этажа.']"
ping,[pɪŋ],свист,"['по сПИНе хлыстом со свистом', 'С ВИШни исходит шелест листьев', 'гул это СВист в УШах', 'ВЫ СЛабо свистите а надо ВЕСеЛо', 'выскакивает разбойник, раздается оглушительный свист, и у его ВИСЛоухой собаки уши встают вертикально вверх']"
ping,[pɪŋ],свистеть,"['по сПИНе хлыстом со свистом', 'группа ПИНГ флойд вместо песни гудела и свистела', 'мы все играли в ПИНГ понг, а болельщики болели так, что уже не орали, а гудели и свистели', 'ВИСЛоухий свистун', 'ВЫСтрЕЛил из ружья - пуля вылетела и стала свистеть']"
toot,[tuːt],свисток,"['гудок ТУ-Ту', 'Свисток милиционера ВИСЕЛ на стене.', 'ВЫ СЛабо свистите а надо ВЕСеЛо']"
jersey,['ʤɜːzɪ],свитер,"['в ДЖАЗЕ играют только в свитерах', 'теплый СВИТЕР', 'СВЕТА в свитере потеет']"
discretion,[dɪ'skreʃ(ə)n],свобода,"['Пусть смена кадров в видеоролике происходит ДИСКРЕТНО, с разграничением во времени 5 сек - тогда у меня будет более удобная свобода выбора для статичной картинки.', 'ФРИ ДОМа (ври дома), а не на улице, такая пока свобода.', 'на ФРЕгате мы выйДЕМ в свободное плавание', 'ФРИ ДОМа жарили свободно']"
free,[friː],свободный,"['ФРИ (ври) сколько угодно, ты человек свободный.', 'для ФРИцев вход бесплатный', 'Свободно в ресторане можно купить картошку ФРИ', 'ЛЕЖАл в свободное от работы время', 'свободный от игры проверял ЛУЗы', 'свободный в просторном одеянии болтается на ЛЮСтре', 'ЛУЗа свободна от шаров']"
dome,[dəum],свод,['ДОЕМ купол с мороженного']
perverse,"[pə'vɜːs,",своенравный,['ПОВЕЗ капризного ребенка в лес к страшному бабаю']
peculiar,[pɪ'kjuːlɪə],своеобразный,['ПЕКарь ЮвеЛИР довольно своеобразная профессия']
insider,[ˌɪn'saɪdə],свой,['если мавзолей закроют ленИН СОЙДЕт в члены общества']
vernacular,[və'nækjulə],свойственный,['с местными торговать - наВЕрНЯКА и ЛЕгко - вот его принцип']
virtue,"['vɜːʧuː,",свойство,['ВЕрЧУ своим ДОСТОИНСТВОм!']
shunt,[ʃʌnt],сворачивать,['ШАНТропа заставила свернуть с пути']
snaffle,['snæfl],своровать,['С НЕВоЛи только вышел и уже что-то своровал.']
look,down,свысока,"['Смотрят свысока другие страны, так как ЛУКашенко ДАВНо не бывал на заседании ООН', 'ВСем говорит “НУ Тя”, значит относится свысока.']"
bound,[baund],связанный,"['Весь рАУНД боксер был связан.', 'БАНДита связали']"
bunch,[bʌnʧ],связка,"['в БАНе лежали связанные букеты', 'БАНЩик ловко орудовал пучком березовых веток', 'БАНЩик (БАНный Человек) ловко орудовал связкой березовых веток']"
conjunction,[kən'ʤʌŋkʃ(ə)n],связывание,"['КАНДалы ЖАН-Клода Ван Дама за ШЕю сцепляли, соединяли со стеной']"
band,[bænd],связывать,"['Остап БЕНДер ищет антикварную ленту', 'БАНя не даром связывает дружбу', 'джеймса БОНДа – связали на границе', 'стальными БРАСлетами скрепили преступников']"
